ingredeint_id,ingredient_name,ingredient_image_url
960,Pte,
961,Turmeric,
962,powder,
963,Salt,
964,Water,
965,Temperg,
966,Coconut,
967,Oil,
968,Mustard,
969,seeds,
970,Methi,
971,Seeds,
972,Asafoetida,
973,Curry,
974,leaves,
975,a,
976,handful,
977,Amla,
978,bite,
979,sized,
980,cubes,
981,Green,
982,Chilli,
983,ch,
984,Achari,
985,mala,
986,Red,
987,Chilli,
988,powder,
989,Turmeric,
990,powder,
991,s,
992,Jaggery,
993,Salt,
994,To,
995,temper,
996,Fennel,
997,seeds,
998,Methi,
999,Seeds,
1000,Mustard,
1001,seeds,
1002,Oil,
1003,Asafoetida,
1004,Betel,
1005,leaves,
1006,s,
1007,Cooked,
1008,rice,
1009,cloves,
1010,Garlic,
1011,crushed,
1012,s,
1013,Oil,
1014,Mustard,
1015,seeds,
1016,Chana,
1017,dal,
1018,Gram,
1019,White,
1020,Urad,
1021,Dal,
1022,Curry,
1023,leaves,
1024,Roted,
1025,Peanuts,
1026,Chew,
1027,nuts,
1028,Fresh,
1029,Red,
1030,chillies,
1031,chopped,
1032,Salt,
1033,required,
1034,Mala,
1035,Cum,
1036,seeds,
1037,Fennel,
1038,seeds,
1039,Whole,
1040,Black,
1041,Peppercns,
1042,s,
1043,Sesame,
1044,seeds,
1045,Curry,
1046,leaves,
1047,Butn,
1048,mushrooms,
1049,quarters,
1050,Whole,
1051,Black,
1052,Peppercns,
1053,Cloves,
1054,Ajwa,
1055,Fennel,
1056,seeds,
1057,Cum,
1058,seeds,
1059,Ciander,
1060,Seeds,
1061,ch,
1062,Cnamon,
1063,Stick,
1064,Dry,
1065,Red,
1066,Chilli,
1067,s,
1068,Poppy,
1069,seeds,
1070,Fresh,
1071,coconut,
1072,grated,
1073,s,
1074,Oil,
1075,Onions,
1076,sliced,
1077,Garlic,
1078,pods,
1079,Salt,
1080,Tamard,
1081,Pte,
1082,Sooji,
1083,Onion,
1084,fely,
1085,chopped,
1086,ch,
1087,Gger,
1088,fely,
1089,chopped,
1090,Green,
1091,Chillies,
1092,fely,
1093,chopped,
1094,Curry,
1095,leaves,
1096,fely,
1097,chopped,
1098,Carrot,
1099,fely,
1100,chopped,
1101,Green,
1102,beans,
1103,fely,
1104,chopped,
1105,Mustard,
1106,seeds,
1107,White,
1108,Urad,
1109,Dal,
1110,Asafoetida,
1111,Oil,
1112,cookg,
1113,s,
1114,Ghee,
1115,Lemon,
1116,juice,
1117,extracted,
1118,Sugar,
1119,Salt,
1120,s,
1121,Raw,
1122,Peanuts,
1123,Fresh,
1124,coconut,
1125,grated,
1126,Green,
1127,Chillies,
1128,Red,
1129,Chilli,
1130,powder,
1131,s,
1132,Jaggery,
1133,grated,
1134,Cloves,
1135,Kokum,
1136,Curry,
1137,leaves,
1138,Ghee,
1139,Cum,
1140,seeds,
1141,Water,
1142,Salt,
1143,Ingredients,
1144,stuffg,
1145,Oil,
1146,s,
1147,Raw,
1148,papaya,
1149,peeled,
1150,&,
1151,grated,
1152,sm,
1153,Red,
1154,Bell,
1155,pepper,
1156,fely,
1157,chopped,
1158,ch,
1159,Gger,
1160,fely,
1161,chopped ,
1162,Onion,
1163,fely,
1164,chopped ,
1165,Green,
1166,Chillies,
1167,fely,
1168,chopped,
1169,Amchur,
1170,Mango,
1171,Garam,
1172,mala,
1173,powder,
1174,Red,
1175,Chilli,
1176,powder,
1177,Garam,
1178,mala,
1179,powder,
1180,Salt,
1181,Mt,
1182,Leaves,
1183,Ghee,
1184,Ingredients,
1185,dough,
1186,s,
1187,Whole,
1188,Wheat,
1189,Flour,
1190,Oil,
1191,Salt,
1192,stuffg,
1193,Rajma,
1194,Kidney,
1195,soaked,
1196,hours,
1197,Hse,
1198,Gram,
1199,Dal,
1200,soaked,
1201,hours,
1202,Onion,
1203,fely,
1204,chopped,
1205,Green,
1206,Chilli,
1207,fely,
1208,chopped,
1209,Cum,
1210,seeds,
1211,Ciander,
1212,Powder,
1213,Red,
1214,Chilli,
1215,powder,
1216,Amchur,
1217,Mango,
1218,Garam,
1219,mala,
1220,powder,
1221,Black,
1222,pepper,
1223,powder,
1224,Salt,
1225,dough,
1226,Whole,
1227,Wheat,
1228,Flour,
1229,Oil,
1230,Water,
1231,knead ,
1232,Bhdi,
1233,about,
1234,an,
1235,ch,
1236,Arhar,
1237,dal,
1238,To,
1239,cooked,
1240,till,
1241,st,
1242,Turmeric,
1243,powder,
1244,Green,
1245,Chillies,
1246,slit,
1247,Tamard,
1248,gooseberry,
1249,sized,
1250,Jaggery,
1251,s,
1252,Ram,
1253,Powder,
1254,Salt,
1255,s,
1256,Coconut,
1257,Oil,
1258,Mustard,
1259,seeds,
1260,Cum,
1261,seeds,
1262,Asafoetida,
1263,Curry,
1264,leaves,
1265,a,
1266,few,
1267,Jackfruit,
1268,Seeds,
1269,Kala,
1270,Chana,
1271,soaked,
1272,overnight,
1273,Mustard,
1274,seeds,
1275,Cum,
1276,seeds,
1277,Curry,
1278,leaves,
1279,Toma,
1280,chopped,
1281,Tamard,
1282,Water,
1283,Turmeric,
1284,powder,
1285,Grdg,
1286,Dry,
1287,Red,
1288,Chillies,
1289,Cum,
1290,seeds,
1291,Ciander,
1292,Seeds,
1293,Cloves,
1294,ch,
1295,Cnamon,
1296,Stick,
1297,Fresh,
1298,coconut,
1299,ch,
1300,Gger,
1301,cloves,
1302,Garlic,
1303,Vellai,
1304,Poosanikai,
1305,gourdWhite,
1306,Turmeric,
1307,powder,
1308,Salt,
1309,Oil,
1310,cookg,
1311,To,
1312,be,
1313,roted,
1314,and,
1315,ground,
1316,pte,
1317,Dry,
1318,Red,
1319,Chillies,
1320,Fresh,
1321,coconut,
1322,grated,
1323,Tamard,
1324,Water,
1325,Methi,
1326,Seeds,
1327,Cum,
1328,seeds,
1329,s,
1330,Ciander,
1331,Seeds,
1332,s,
1333,Sesame,
1334,seeds,
1335,s,
1336,Jaggery,
1337,Tamard,
1338,Water,
1339,seong,
1340,Oil,
1341,Mustard,
1342,seeds,
1343,Curry,
1344,leaves,
1345,roughly,
1346,rn,
1347,Dry,
1348,Red,
1349,Chillies,
1350,Ingredients,
1351,grd,
1352,Jackfruit,
1353,Seeds,
1354,Green,
1355,Chillies,
1356,cloves,
1357,Garlic,
1358,Tamard,
1359,ram,
1360,Ram,
1361,Powder,
1362,Onion,
1363,chopped,
1364,cloves,
1365,Garlic,
1366,pound,
